"request_id";"service"
1;"car wash"
1;"battery check"
2;"car wash - premium"
2;"oil change"
2;"tire replacement - moderate"
2;"ac repair - gas filling"
2;"general service"
2;"insurance renewal"
3;"car wash - premium"
3;"oil change"
3;"tire replacement - advanced"
3;"battery check - diagnosis"
3;"ac repair - gas filling"
3;"general service"
3;"pickup and drop"
3;"insurance renewal"
4;"car wash - basic"
5;"car wash - premium"
5;"pickup and drop"
6;"car wash - basic"
6;"ac repair - gas filling"
7;"tire replacement - simple"
8;"tire replacement - advanced"
8;"engine diagnostics"
9;"tire replacement - moderate"
9;"battery check - replace"
9;"engine diagnostics"
9;"pickup and drop"
10;"car wash - premium"
11;"battery check - replace"
12;"oil change"
12;"tire replacement - moderate"
12;"engine diagnostics"
12;"insurance renewal"
13;"oil change"
13;"battery check - diagnosis"
13;"engine diagnostics"
13;"general service"
13;"pickup and drop"
13;"insurance renewal"
14;"car wash - basic"
15;"oil change"
16;"oil change"
17;"car wash - premium"
18;"car wash - basic"
18;"pickup and drop"
19;"car wash - premium"
19;"oil change"
19;"battery check - replace"
20;"ac repair - cooling issues"
21;"ac repair - gas filling"
